ScenarioID,Iteration,Timestep,TransitionGroupID,Amount
128,1,2003,Ag Contraction: Pinyon/Juniper Group [Type],9900
128,1,2003,Ag Contraction: Ponderosa Pine Group [Type],6800
128,1,2003,Ag Contraction: Redwood Group [Type],10400
128,1,2003,Ag Contraction: Spruce/Fir Group [Type],8600
128,1,2003,Ag Contraction: Tanoak/Laurel Group [Type],8400
128,1,2003,Ag Contraction: Tropical Hardwoods Group [Type],9600
128,1,2003,Ag Contraction: Western Larch Group [Type],6700
128,1,2003,Ag Contraction: Western Oak Group [Type],8800
128,1,2003,Ag Contraction: Western White Pine Group [Type],8300
128,1,2003,Ag Contraction: White/Red/Jack Pine Group [Type],10100
128,1,2003,Ag Contraction: Grassland [Type],19300
128,1,2003,Ag Contraction: Shrubland [Type],11600
128,1,2003,Ag Contraction: Wetland Herbaceous [Type],8400
128,1,2003,Ag Contraction: Wetland Woody [Type],10000
128,1,2003,Ag Contraction: Cropland,339500
128,1,2003,Ag Contraction: Pasture,339500
128,1,2003,Succession Post Fire: Alder/Maple Group [Type],1300
128,1,2003,Succession Post Fire: Aspen/Birch Group [Type],1000
128,1,2003,Succession Post Fire: California Mixed Conifer Group [Type],1500
128,1,2003,Succession Post Fire: Douglas-fir Group [Type],4800
128,1,2003,Succession Post Fire: Elm/Ash/Cottonwood Group [Type],1200
128,1,2003,Succession Post Fire: Exotic Hardwoods Group [Type],1200
128,1,2003,Succession Post Fire: Exotic Softwoods Group [Type],600
128,1,2003,Succession Post Fire: Fir/Spruce/Mountain Hemlock Group [Type],1700
128,1,2003,Succession Post Fire: Hemlock/Sitka Spruce Group [Type],600
128,1,2003,Succession Post Fire: Loblolly/Shortleaf Pine Group [Type],1000
128,1,2003,Succession Post Fire: Lodgepole Pine Group [Type],1200
128,1,2003,Succession Post Fire: Longleaf/Slash Pine Group [Type],1800
128,1,2003,Succession Post Fire: Maple/Beech/Birch Group [Type],1200
128,1,2003,Succession Post Fire: Oak/Gum/Cypress Group [Type],1200
128,1,2003,Succession Post Fire: Oak/Hickory Group [Type],800
128,1,2003,Succession Post Fire: Oak/Pine Group [Type],1000
128,1,2003,Succession Post Fire: Other Western Hardwoods Group [Type],1100
128,1,2003,Succession Post Fire: Other Western Softwood Group [Type],1400
128,1,2003,Succession Post Fire: Pinyon/Juniper Group [Type],1600
