ScenarioID,Iteration,Timestep,StateClassID,StateLabelXID,StateLabelYID,Amount
128,1,2004,Agriculture: Pasture,Agriculture,Pasture,54303900
128,1,2004,Agriculture: Cropland,Agriculture,Cropland,126597800
128,1,2004,Wetland: Woody,Wetland,Woody,4821200
128,1,2004,Wetland: Herbaceous,Wetland,Herbaceous,9493200
128,1,2004,Forest: White/Red/Jack Pine Group,Forest,White/Red/Jack Pine Group,3108200
128,1,2004,Forest: Spruce/Fir Group,Forest,Spruce/Fir Group,6568700
128,1,2004,Forest: Longleaf/Slash Pine Group,Forest,Longleaf/Slash Pine Group,7378200
128,1,2004,Forest: Loblolly/Shortleaf Pine Group,Forest,Loblolly/Shortleaf Pine Group,29669800
128,1,2004,Forest: Pinyon/Juniper Group,Forest,Pinyon/Juniper Group,16745500
128,1,2004,Forest: Douglas-fir Group,Forest,Douglas-fir Group,20570700
128,1,2004,Forest: Ponderosa Pine Group,Forest,Ponderosa Pine Group,11963200
128,1,2004,Forest: Western White Pine Group,Forest,Western White Pine Group,62500
128,1,2004,Forest: Fir/Spruce/Mountain Hemlock Group,Forest,Fir/Spruce/Mountain Hemlock Group,14442400
128,1,2004,Forest: Lodgepole Pine Group,Forest,Lodgepole Pine Group,6434100
128,1,2004,Forest: Hemlock/Sitka Spruce Group,Forest,Hemlock/Sitka Spruce Group,1716000
128,1,2004,Forest: Western Larch Group,Forest,Western Larch Group,183000
128,1,2004,Forest: Redwood Group,Forest,Redwood Group,329900
128,1,2004,Forest: Other Western Softwood Group,Forest,Other Western Softwood Group,976000
128,1,2004,Forest: California Mixed Conifer Group,Forest,California Mixed Conifer Group,4436200
128,1,2004,Forest: Exotic Softwoods Group,Forest,Exotic Softwoods Group,45100
128,1,2004,Forest: Oak/Pine Group,Forest,Oak/Pine Group,8362700
128,1,2004,Forest: Oak/Hickory Group,Forest,Oak/Hickory Group,69602500
128,1,2004,Forest: Oak/Gum/Cypress Group,Forest,Oak/Gum/Cypress Group,11648100
128,1,2004,Forest: Elm/Ash/Cottonwood Group,Forest,Elm/Ash/Cottonwood Group,5591300
128,1,2004,Forest: Maple/Beech/Birch Group,Forest,Maple/Beech/Birch Group,24692500
128,1,2004,Forest: Aspen/Birch Group,Forest,Aspen/Birch Group,15028800
128,1,2004,Forest: Alder/Maple Group,Forest,Alder/Maple Group,803100
128,1,2004,Forest: Western Oak Group,Forest,Western Oak Group,6450800
128,1,2004,Forest: Tanoak/Laurel Group,Forest,Tanoak/Laurel Group,880800
128,1,2004,Forest: Other Western Hardwoods Group,Forest,Other Western Hardwoods Group,683300
128,1,2004,Forest: Tropical Hardwoods Group,Forest,Tropical Hardwoods Group,138800
128,1,2004,Forest: Exotic Hardwoods Group,Forest,Exotic Hardwoods Group,129400
128,1,2004,Shrubland: Post Fire Shrub,Shrubland,Post Fire Shrub,224100
128,1,2005,Water: All,Water,All,42408200
128,1,2005,Snow/Ice: All,Snow/Ice,All,53200
128,1,2005,Developed: Open Space,Developed,Open Space,3891400
128,1,2005,Developed: Low Intensity,Developed,Low Intensity,4654800
128,1,2005,Developed: Medium Intensity,Developed,Medium Intensity,3123100
128,1,2005,Developed: High Intensity,Developed,High Intensity,1229600
128,1,2005,Developed: Transportation,Developed,Transportation,28211400
128,1,2005,Barren: All,Barren,All,8196700
128,1,2005,Shrubland: All,Shrubland,All,153039700
128,1,2005,Grassland: All,Grassland,All,99184100
128,1,2005,Agriculture: Pasture,Agriculture,Pasture,54052200
128,1,2005,Agriculture: Cropland,Agriculture,Cropland,126654500
128,1,2005,Wetland: Woody,Wetland,Woody,4828200
128,1,2005,Wetland: Herbaceous,Wetland,Herbaceous,9485300
128,1,2005,Forest: White/Red/Jack Pine Group,Forest,White/Red/Jack Pine Group,3116900
128,1,2005,Forest: Spruce/Fir Group,Forest,Spruce/Fir Group,6577800
128,1,2005,Forest: Longleaf/Slash Pine Group,Forest,Longleaf/Slash Pine Group,7383100
128,1,2005,Forest: Loblolly/Shortleaf Pine Group,Forest,Loblolly/Shortleaf Pine Group,29670100
128,1,2005,Forest: Pinyon/Juniper Group,Forest,Pinyon/Juniper Group,16754100
128,1,2005,Forest: Douglas-fir Group,Forest,Douglas-fir Group,20578200
128,1,2005,Forest: Ponderosa Pine Group,Forest,Ponderosa Pine Group,11968700
128,1,2005,Forest: Western White Pine Group,Forest,Western White Pine Group,74600
128,1,2005,Forest: Fir/Spruce/Mountain Hemlock Group,Forest,Fir/Spruce/Mountain Hemlock Group,14449400
128,1,2005,Forest: Lodgepole Pine Group,Forest,Lodgepole Pine Group,6444600
128,1,2005,Forest: Hemlock/Sitka Spruce Group,Forest,Hemlock/Sitka Spruce Group,1725000
128,1,2005,Forest: Western Larch Group,Forest,Western Larch Group,192400
128,1,2005,Forest: Redwood Group,Forest,Redwood Group,340800
128,1,2005,Forest: Other Western Softwood Group,Forest,Other Western Softwood Group,986500
128,1,2005,Forest: California Mixed Conifer Group,Forest,California Mixed Conifer Group,4443800
128,1,2005,Forest: Exotic Softwoods Group,Forest,Exotic Softwoods Group,55500
128,1,2005,Forest: Oak/Pine Group,Forest,Oak/Pine Group,8367000
128,1,2005,Forest: Oak/Hickory Group,Forest,Oak/Hickory Group,69567800
128,1,2005,Forest: Oak/Gum/Cypress Group,Forest,Oak/Gum/Cypress Group,11654300
128,1,2005,Forest: Elm/Ash/Cottonwood Group,Forest,Elm/Ash/Cottonwood Group,5598500
128,1,2005,Forest: Maple/Beech/Birch Group,Forest,Maple/Beech/Birch Group,24695800
128,1,2005,Forest: Aspen/Birch Group,Forest,Aspen/Birch Group,15034800
128,1,2005,Forest: Alder/Maple Group,Forest,Alder/Maple Group,812200
128,1,2005,Forest: Western Oak Group,Forest,Western Oak Group,6455800
128,1,2005,Forest: Tanoak/Laurel Group,Forest,Tanoak/Laurel Group,891500
128,1,2005,Forest: Other Western Hardwoods Group,Forest,Other Western Hardwoods Group,693500
128,1,2005,Forest: Tropical Hardwoods Group,Forest,Tropical Hardwoods Group,148900
128,1,2005,Forest: Exotic Hardwoods Group,Forest,Exotic Hardwoods Group,140000
128,1,2005,Shrubland: Post Fire Shrub,Shrubland,Post Fire Shrub,210200
128,1,2006,Water: All,Water,All,42408200
128,1,2006,Snow/Ice: All,Snow/Ice,All,53200
128,1,2006,Developed: Open Space,Developed,Open Space,3970500
128,1,2006,Developed: Low Intensity,Developed,Low Intensity,4699600
128,1,2006,Developed: Medium Intensity,Developed,Medium Intensity,3180700
128,1,2006,Developed: High Intensity,Developed,High Intensity,1255500
128,1,2006,Developed: Transportation,Developed,Transportation,28211400
128,1,2006,Barren: All,Barren,All,8196700
128,1,2006,Shrubland: All,Shrubland,All,153006900
128,1,2006,Grassland: All,Grassland,All,99043000
128,1,2006,Agriculture: Pasture,Agriculture,Pasture,53821800
128,1,2006,Agriculture: Cropland,Agriculture,Cropland,126669400
128,1,2006,Wetland: Woody,Wetland,Woody,4835500
128,1,2006,Wetland: Herbaceous,Wetland,Herbaceous,9485700
